image_urls,chip_info
"['http://themogh.org/cg_pix/nv/173012.jpg', 'http://themogh.org/cg_pix/nv/173012a.jpg']",CG173012 Obsolete Denom: 10¢ Issued: 1953 Added: 2016-11-19 Last Update: 2016-11-19 Color: Lt Blue Mold: Arodie Inlay: HS-Gold Catalog#: N5053 Contributed by: Riverboat Rick Pokracki Lt. Blue color per TCR. This chip is damaged. Show
"['http://themogh.org/cg_pix/nv/168306.jpg', 'http://themogh.org/cg_pix/nv/168306a.jpg']",CG168306 Obsolete Denom: 25¢ Issued: 1953 Added: 2016-08-12 Color: Red Mold: Arodie Inlay: HS-GOLD Catalog#: N0379 Contributed by: David Sarles Show
"['http://themogh.org/cg_pix/nv/41449.jpg', 'http://themogh.org/cg_pix/nv/41449a.jpg']",CG041449 Obsolete Denom: 25¢ Issued: 1953 Added: 2011-08-17 Last Update: 2013-05-16 Color: RED Mold: SqSqRt Inlay: HS-Gold Catalog#: N7633 Contributed by: Frank Steward Overstamped arrow Show
"['http://themogh.org/cg_pix/nv/20903.jpg', 'http://themogh.org/cg_pix/nv/020903a.jpg']",CG020903 Obsolete Denom: $1 Issued: 1953 Last Update: 2020-04-18 Color: Orange Mold: Arodie Inlay: HS-GOLD Catalog#: E7063 Contributed by: Greg Susong Show
"['http://themogh.org/cg_pix/nv/27718.jpg', 'http://themogh.org/cg_pix/nv/27718a.jpg']",CG027718 Obsolete Denom: $5 Issued: 1953 Added: 2010-12-16 Last Update: 2011-11-09 Color: Yellow Mold: SqSqRt Inlay: HS-Gold Catalog#: N7619 Contributed by: Frank Steward Show
"['http://themogh.org/cg_pix/nv/102064.jpg', 'http://themogh.org/cg_pix/nv/102064a.jpg']","CG102064 Obsolete Denom: $5 Issued: 1953 Added: 2013-04-27 Last Update: 2013-04-27 Color: Yellow Mold: SqSqRt Inlay: HS Gold Catalog#: N7619 Contributed by: Frank Steward No ""S"" after Norman Show"
"['http://themogh.org/cg_pix/nv/113403.jpg', 'http://themogh.org/cg_pix/nv/113403a.jpg']",CG113403 Obsolete Denom: 5 Issued: 1953 Added: 2013-08-08 Last Update: 2013-08-08 Color: Yellow Mold: SqSqRt Inlay: HS-Gold Catalog#: E9351 Contributed by: Bill Lange Show
"['http://themogh.org/cg_pix/nv/162453.jpg', 'http://themogh.org/cg_pix/nv/162453a.jpg']","CG162453 Obsolete Denom: $5 Issued: 1953 Added: 2016-05-06 Last Update: 2016-05-06 Color: Yellow Mold: SqSqRt Inlay: HS-GOLD Catalog#: N7619.1 Contributed by: David Sarles No ""S"" after Norman Hot-stamped over anchor Show"
"['http://themogh.org/cg_pix/nv/27719.jpg', 'http://themogh.org/cg_pix/nv/27719a.jpg']","CG027719 Obsolete Denom: $20 Issued: 1953 Added: 2010-12-16 Last Update: 2012-03-09 Color: BLACK Mold: SqSqRt Inlay: HS-Gold Catalog#: N7617 Contributed by: Frank Steward $20 Dopey Norman without an ""S"" at the end of the name. Show"
"['http://themogh.org/cg_pix/nv/66047.jpg', 'http://themogh.org/cg_pix/nv/66047a.jpg']",CG066047 Obsolete Denom: $20 Issued: 1953 Added: 2012-03-04 Last Update: 2012-07-16 Color: BLACK Mold: SqSqRt Inlay: HS-Gold Catalog#: N7617 Contributed by: Frank Steward Show
"['http://themogh.org/cg_pix/nv/100239.jpg', 'http://themogh.org/cg_pix/nv/100239a.jpg']",CG100239 Obsolete Denom: 20 Issued: 1953 Added: 2013-03-19 Last Update: 2013-03-19 Color: Black Mold: SqSqRt Inlay: HS Gold Catalog#: E9353 Contributed by: Steve Clark Hotstamped over anchor obverse Show
[],
[],
