image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/70466.jpg'],CG070466 Current Denom: 25¢ Issued: 1980s Added: 2012-04-04 Last Update: 2012-04-04 Color: ORANGE Mold: H&C (LCV) Inlay: HS-GOLD Catalog#: N3130.L Contributed by: Gary Acquistapace Show,2012-04-04,False,True
['http://themogh.org/cg_pix/nv/70465.jpg'],CG070465 Current Denom: 25¢ Issued: c1990 Added: 2012-04-04 Last Update: 2012-04-24 Color: ORANGE Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N3130.S Contributed by: Terry Shaffer Show,2012-04-04,False,True
['http://themogh.org/cg_pix/nv/140530.jpg'],CG140530 Current Denom: 50¢ Issued: 1980s Added: 2015-03-15 Color: Peach Mold: H&C (SCV) Catalog#: N3045 Contributed by: Lee O'Dell Show,2015-03-15,False,True
['http://themogh.org/cg_pix/nv/70469.jpg'],CG070469 Current Denom: 50¢ Issued: 1983 Added: 2012-04-04 Last Update: 2012-04-28 Color: DK PINK Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N5016 Contributed by: Terry Shaffer Cent line slanted Show,2012-04-04,False,True
['http://themogh.org/cg_pix/nv/70467.jpg'],CG070467 Current Denom: 50¢ Issued: 1990s Added: 2012-04-04 Last Update: 2012-04-04 Color: LT PINK Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N8088 Contributed by: Gary Acquistapace Cent line straight Show,2012-04-04,False,True
['http://themogh.org/cg_pix/nv/142035.jpg'],"CG142035 Current Denom: 50¢ Issued: 2015 Added: 2015-04-15 Last Update: 2015-04-15 Color: Blue Mold: House Inlay: HS Gold Catalog#: NotInTCR Contributed by: Richard ""Reggie"" Gummer Show",2015-04-15,False,True
['http://themogh.org/cg_pix/nv/75056.jpg'],CG075056 Current Denom: 50¢ Issued: 2012 Added: 2012-06-02 Last Update: 2012-06-02 Color: BLUE Mold: 8Suits Inlay: HS-GOLD Catalog#: NotInTCR Contributed by: Ross Poppel Cent line slanted Show,2012-06-02,False,True
"['http://themogh.org/cg_pix/nv/142036.jpg', 'http://themogh.org/cg_pix/nv/142036a.jpg']","CG142036 Current Denom: $1 Issued: 2015 Added: 2015-04-15 Last Update: 2023-02-26 Color: White Inserts: 3-Pink 3-Lt Blue Mold: House Inlay: OOR-MULTI Logo: Clown Catalog#: D1803 Contributed by: Richard ""Reggie"" Gummer Show",2015-04-15,False,True
"['http://themogh.org/cg_pix/nv/142037.jpg', 'http://themogh.org/cg_pix/nv/142037a.jpg']","CG142037 Current Denom: $2.50 Issued: 2015 Added: 2015-04-15 Last Update: 2018-08-26 Color: Yellow Inserts: 4 Orange, 4 Green Mold: House Inlay: OR-Multi Logo: Dog Catalog#: D1804 Contributed by: Richard ""Reggie"" Gummer 2015 COTY Show",2015-04-15,False,True
['http://themogh.org/cg_pix/nv/117882.jpg'],CG117882 Current Denom: $5 Issued: 1983 Added: 2013-11-23 Last Update: 2019-10-01 Color: Red Inserts: 3 Gold Mold: H&C (LCV) Inlay: HS Gold Catalog#: N5017 Contributed by: Bruce Kay Show,2013-11-23,False,True
['http://themogh.org/cg_pix/nv/67332.jpg'],CG067332 Current Denom: $5 Issued: 1989 Added: 2012-03-12 Last Update: 2012-03-12 Color: RED Inserts: 3 Gold Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N1224 Contributed by: Terry Shaffer Show,2012-03-12,False,True
['http://themogh.org/cg_pix/nv/67102.jpg'],CG067102 Current Denom: $5 Issued: 1997 Added: 2012-03-11 Last Update: 2019-09-15 Color: Red Mold: Plain Mftr: Chipco Inlay: Smooth Logo: Horse Catalog#: N0655.1 Contributed by: Terry Shaffer Show,2012-03-11,False,True
['http://themogh.org/cg_pix/nv/70470.jpg'],CG070470 Current Denom: $5 Issued: 1997 Added: 2012-04-04 Last Update: 2019-09-29 Color: Red Mold: Plain Mftr: Chipco Inlay: Linen Logo: Horse Catalog#: N0655 Contributed by: Gary Acquistapace Show,2012-04-04,False,True
"['http://themogh.org/cg_pix/nv/142038.jpg', 'http://themogh.org/cg_pix/nv/142038a.jpg']","CG142038 Current Denom: $5 Issued: 2015 Added: 2015-04-15 Last Update: 2018-08-26 Color: Red Inserts: 2 Black, 2 Black/Blue/Black Mold: House Inlay: OR-Multi Logo: Reno Sign Catalog#: D1805 Contributed by: Richard ""Reggie"" Gummer Show",2015-04-15,False,True
['http://themogh.org/cg_pix/nv/140652.jpg'],CG140652 Current Denom: $25 Issued: 1995 Added: 2015-03-18 Last Update: 2021-02-12 Color: Green Mold: Plain Inlay: Linen Logo: Bicycle Rider Catalog#: N5079 Contributed by: Eric Rosenblum Updated by: David Sarles Replacement Issue Show,2015-03-18,False,True
"['http://themogh.org/cg_pix/nv/142463.jpg', 'http://themogh.org/cg_pix/nv/142463a.jpg']",CG142463 Current Denom: $25 Issued: 2015 Added: 2015-04-19 Last Update: 2018-08-26 Color: Green Inserts: 3org/Prp/Org Mold: House Catalog#: D1806 Contributed by: Bill Lange Show,2015-04-19,False,True
['http://themogh.org/cg_pix/nv/140255.jpg'],CG140255 Current Denom: $100 Added: 2015-03-07 Last Update: 2018-01-20 Color: Black Mold: Plain Inlay: Satin Catalog#: NotInTCR Contributed by: Lee O'Dell Notched Show,2015-03-07,False,True
['http://themogh.org/cg_pix/nv/183365.jpg'],"CG183365 Current Denom: $100 Added: 2017-08-30 Last Update: 2019-09-28 Color: Black Mold: Plain Mftr: Chipco Inlay: Linen Logo: Tiger Catalog#: V3885 Contributed by: David Sarles Original Order, Tiger Ring of Fire Show",2017-08-30,False,True
['http://themogh.org/cg_pix/nv/183367.jpg'],"CG183367 Current Denom: $100 Added: 2017-08-30 Last Update: 2019-09-28 Color: Black Mold: Plain Mftr: Chipco Inlay: Satin Logo: Tiger Catalog#: V3885.1 Contributed by: David Sarles Replacement Order, Tiger Ring of Fire Show",2017-08-30,False,True
"['http://themogh.org/cg_pix/nv/142464.jpg', 'http://themogh.org/cg_pix/nv/142464a.jpg']","CG142464 Current Denom: $100 Issued: 2015 Added: 2015-04-19 Last Update: 2018-08-26 Color: Black Inserts: 4grn, Ylw Mold: House Catalog#: D1807 Contributed by: Bill Lange Show",2015-04-19,False,True
['http://themogh.org/cg_pix/nv/093813.jpg'],CG093813 Current Denom: $500 Added: 2017-05-17 Last Update: 2019-09-29 Color: Pink/Purple Mold: Plain Mftr: Chipco Logo: Weightlifter Catalog#: TCR# Contributed by: David Sarles Notched Show,2017-05-17,False,True
['http://themogh.org/cg_pix/nv/140643.jpg'],CG140643 Current Denom: $500 Issued: 1983 Added: 2015-03-18 Last Update: 2019-08-29 Color: White Inserts: 4 Pink/Mustard Mold: H&C (SCV) Inlay: OR-White Catalog#: E9824 Contributed by: Sherry and Johnny Mac Show,2015-03-18,False,True
