image_urls,chip_info,issue_date,is_obsolete,has_valid_image
['http://themogh.org/cg_pix/nv/13949.jpg'],CG013949 Current Denom: $1 Issued: 1970s Last Update: 2014-03-29 Color: White Inserts: 3-Dk Green Mold: DieCar Inlay: CIC-SILVER Catalog#: N7450 Contributed by: Greg Susong NEVADA Show,2014-03-29,False,True
['http://themogh.org/cg_pix/nv/20877.jpg'],"CG020877 Current Denom: $1 Issued: 1970s Last Update: 2014-03-29 Color: White Inserts: 3-Green Mold: DieCar Inlay: CIC-SILVER Catalog#: N0913.1 Contributed by: Greg Susong JACKPOT, NEV.; large print Show",2014-03-29,False,True
['http://themogh.org/cg_pix/nv/19664.jpg'],"CG019664 Current Denom: $1 Issued: 1970s Last Update: 2014-03-29 Color: White Inserts: 3-Green Mold: DieCar Inlay: CIC-SILVER Catalog#: N0913.2 Contributed by: Greg Susong JACKPOT, NEV.; small print Show",2014-03-29,False,True
['http://themogh.org/cg_pix/nv/19663.jpg'],"CG019663 Current Denom: $1 Issued: 1970s Last Update: 2014-03-29 Color: White Inserts: 3-Green Mold: DieCar Inlay: CIC-SILVER Catalog#: N0913 Contributed by: Greg Susong JACKPOT, NEV (no dot) Show",2014-03-29,False,True
"['http://themogh.org/cg_pix/nv/21299.jpg', 'http://themogh.org/cg_pix/nv/21299a.jpg']",CG021299 Current Denom: $1 Issued: 1970s Last Update: 2014-03-29 Color: White Inserts: 3-Green Mold: DieCar Inlay: CIC-SILVER Catalog#: N0913.E Contributed by: Greg Susong ERROR - NEV. / NEV Show,2014-03-29,False,True
['http://themogh.org/cg_pix/nv/04534.jpg'],CG004534 Current Denom: $1 Issued: 1980s Last Update: 2018-02-20 Color: White Inserts: 3-Green Mold: DieSuits (LOT) Inlay: CIC-Silver Catalog#: N3189.S Contributed by: Greg Susong Bold print; smooth coin Show,2018-02-20,False,True
['http://themogh.org/cg_pix/nv/20912.jpg'],CG020912 Current Denom: $1 Issued: 1980s Last Update: 2018-02-20 Color: White Inserts: 3-Green Mold: DieSuits (LOT) Inlay: CIC-Silver Catalog#: N3189.S1 Contributed by: Greg Susong Fine print; smooth coin Show,2018-02-20,False,True
['http://themogh.org/cg_pix/nv/40582.jpg'],CG040582 Current Denom: $1 Issued: 1980s Added: 2011-08-05 Last Update: 2018-12-13 Color: White Inserts: 3-Green Mold: DieSuits (LOT) Inlay: CIC-SILVER Catalog#: N3189.P1 Contributed by: Cale Guthmiller Fine print; spun coin Show,2011-08-05,False,True
"['http://themogh.org/cg_pix/nv/61080.jpg', 'http://themogh.org/cg_pix/nv/61080a.jpg']","CG061080 Current Denom: $5 Issued: 1970s Added: 2012-01-18 Last Update: 2023-03-08 Color: Red Inserts: 3-Brown Mold: DieSuits (LOT) Inlay: COIN-SILVER Logo: Shield Catalog#: N1035 Contributed by: Cale Guthmiller Updated by: Dale Nash ERROR:  $5 on one side, $25 on the other. NGCB lists insert color of Dark Brown. Show",2012-01-18,False,True
['http://themogh.org/cg_pix/nv/67654.jpg'],CG067654 Current Denom: $25 Issued: 1990s Added: 2012-03-15 Last Update: 2019-08-25 Color: G Inserts: 3-Pink Mold: DieSuits (LOT) Inlay: CIC-Silver Logo: Shield Catalog#: N1036.S Contributed by: Gary Acquistapace Smooth Coin NGCB lists chip color as Emerald with Day Glow Green inserts. Show,2012-03-15,False,True
