image_urls,chip_info
"['http://themogh.org/cg_pix/nv/68836.jpg', 'http://themogh.org/cg_pix/nv/68836a.jpg']",CG068836 Show Casinos Obsolete Denom: 5¢ Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Brown Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 500 Catalog#: V1384 Contributed by: Gary Acquistapace Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/95462.jpg', 'http://themogh.org/cg_pix/nv/95462a.jpg']",CG095462 Show Casinos Obsolete Denom: 10¢ Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Off-White Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 700 Catalog#: V1385 Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/119695.jpg', 'http://themogh.org/cg_pix/nv/119695a.jpg']",CG119695 Show Casinos Obsolete Denom: 25¢ Issued: 1946 Added: 2014-01-02 Last Update: 2017-10-16 Color: Red Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 1000 Catalog#: N8125 Contributed by: Greg Ikemoto Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/119696.jpg', 'http://themogh.org/cg_pix/nv/119696a.jpg']",CG119696 Show Casinos Obsolete Denom: 50¢ Issued: 1946 Added: 2014-01-02 Last Update: 2020-09-18 Color: Navy Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 1000 Catalog#: V1386 Contributed by: Fred DeKeyser Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/119697.jpg', 'http://themogh.org/cg_pix/nv/119697a.jpg']",CG119697 Show Casinos Obsolete Denom: $1 Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Green Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 1000 Catalog#: V1387 Contributed by: David Sarles Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/093197.jpg', 'http://themogh.org/cg_pix/nv/093197a.jpg']",CG093197 Obsolete Denom: $1 Issued: 1965 Added: 2012-11-26 Last Update: 2014-02-24 Color: BROWN Mold: LgKey Inlay: HS-GOLD Logo: D & N Catalog#: V6444 Contributed by: Gene Lonstein Show
"['http://themogh.org/cg_pix/nv/68838.jpg', 'http://themogh.org/cg_pix/nv/68838a.jpg']",CG068838 Show Casinos Obsolete Denom: $5 Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Yellow Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 1000 Catalog#: V1388 Contributed by: Gary Acquistapace Previously used at Reno Casino in 1946-1950. Show
"['http://themogh.org/cg_pix/nv/70747.jpg', 'http://themogh.org/cg_pix/nv/70747a.jpg']",CG070747 Obsolete Denom: $5 Issued: 1959 Added: 2012-04-06 Last Update: 2014-01-02 Color: ORANGE Inserts: 3 Black-1/2 Round Mold: SCrown Inlay: HS-GOLD Logo: D <> N Quantity: 300 Catalog#: V3941 Contributed by: Ruben Apaez Show
"['http://themogh.org/cg_pix/nv/100107.jpg', 'http://themogh.org/cg_pix/nv/100107a.jpg']",CG100107 Show Casinos Obsolete Denom: $20 Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Purple Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 500 Catalog#: V2325 Contributed by: Steve Passalacqua Previously used at Reno Casino in 1946-1950. Show
[],CG119699 Obsolete Denom: $25 Issued: 1950s Added: 2014-01-02 Last Update: 2014-01-02 Color: PURPLE Mold: Flower Inlay: HS-GOLD Logo: D & N Catalog#: N1101 Show
[],CG119698 Show Casinos Obsolete Denom: $100 Issued: 1946 Added: 2014-01-02 Last Update: 2016-12-13 Color: Brown Mold: LCrown Inlay: HS-GOLD Logo: RC Quantity: 100 Catalog#: E0302 Previously used at Reno Casino in 1946-1950. Show
[],
